title,date,source,link,month
Multi-modal deep-attention-BiLSTM based early detection of mental health issues using social media posts - Nature,2025-10-08 07:00:00,Nature,https://news.google.com/rss/articles/CBMiX0FVX3lxTE51UkkzRUdGX05WcDBjcXpFbzhIOHB1bzFJRUhKd2o4NllldnNMcExCcUNYVXM0bTNxMERud3BtMnZUYUl5M21TNkx1Z3ZDc0NfMlh0OWhwVU0yYnpJR0hR?oc=5,2025-10
Mental health of adolescents - World Health Organization (WHO),2025-09-01 07:00:00,World Health Organization (WHO),https://news.google.com/rss/articles/CBMifkFVX3lxTE9xM1FEZ1N0dUkyYjlqZUJsWjFBNW5tdU4zdHRRWWVzcmhIa25FSzU5QWtZbjE3enlHdDVobS1tOWJ5V3JTU1NDQTBKLW4wMnFLdjY4MVBvQ2Z3M2pwS19nSS16M1BoZVp0UmF4V0pkamQ5cTU3VnBocFN2OW1wQQ?oc=5,2025-09
The Digital Mental Health Paradox - Mad In America,2026-05-01 10:00:15,Mad In America,https://news.google.com/rss/articles/CBMie0FVX3lxTE56RmdUY0t3cDFSc2hxZTVfcGU4cEJzbGc1NmRaTXU0d3BJMFZuMkU5U1FPelY0cjl2c2lnSVR6RTgxdEVndXBuTEpVekFXUFlhZklJaldHSXRQbzhGSDF1M3R6TWFIRVBfMWk4aERDaW5KNWVaQlZxVHNwSQ?oc=5,2026-05
UK study to examine effects of restricting social media for children - The Guardian,2026-01-20 08:00:00,The Guardian,https://news.google.com/rss/articles/CBMipwFBVV95cUxQUDlsTmZOZkozTGhZamlHS0lmcHhuZTdJS0pNRFJLaFJ1bmpkaktQYVYzZnZaN2VoWk1MZ2NOODd2bVFqZ0N6R1BzaVNydUt5LVEtT1FtZzRUVWtEeVl6ZEJqeHF1MElHSTdHand0S056dmdYZTYwMHJXVGNWOTM2OWdzUnMtanBNY19JbGRUeXJocUJ6Zm9KQWNJZGZhaVUxdi1RV2xOZw?oc=5,2026-01
"Social media fuelling teen mental health crisis, report warns - The Independent",2026-03-19 07:00:00,The Independent,https://news.google.com/rss/articles/CBMimgFBVV95cUxOWWxQaWlCYVBnd0RnYmRPdUV5emZ4R3FpdkhTeTJCNTdnb3ZaVGpzdnFVc2lQOHBMUVM2aVY5b1hOZ212eFdfMFpwVmNGYV8wY19Fa3lUbTlkQ3I0UFpxdC02dXk3OWYzb0RhdmViakJiMFZsZ3ZCeEF6RVBlc3ZqSnUxRFlxSDhzQ1E1ZXVIQ1lKWWZpSFgtaVFR?oc=5,2026-03
"Amid growing calls to limit teens' use of AI chatbots, are parental controls enough? - CBC",2026-05-03 08:00:00,CBC,https://news.google.com/rss/articles/CBMihwFBVV95cUxOZi1KWFZuUDl5SFJNY1dEVldNZUhjU0cwczluVG5ET3g4akdLSkI0Y09ZUWRBak5ZRlVjaVJzencxNkxxXzRoczN2aUxzVEc4WGhfOVJqMmpVN19CZ0RzYnYwd3U2aVVqdjRFTXRIY3FJZFZXTnNkclpMLVhSX2FXWTRqNEZiX2c?oc=5,2026-05
Social Media and Adolescent Mental Health: A Comprehensive Narrative Review - Cureus,2026-02-06 08:00:00,Cureus,https://news.google.com/rss/articles/CBMiswFBVV95cUxQTUpZdmhLeVI2di1MX3RhbmprUFR6N1Y2Y1VmVkpyOXVPdlZubWNOMHBfcHVDbUctbzNIM2dOMENMM2xmNXQtWGVZX3dKWWJMT2ZQblptN3FhZFVCLVVHZ3NkdFdNakZfTTdhZE5qTnVyZXE3WUk3OWJkT3R4czctNFhEcjIwSGh2RDB2X2lMdHl4Y3drR2JBc3FHSGR6aDVXS1A3RlB3MDZYZER2S1R4RkZXdw?oc=5,2026-02
Ask Dr. Steve: How artificial intelligence is making social media more addictive and damaging (Part 2) - Standard-Examiner,2026-05-02 23:03:49,Standard-Examiner,https://news.google.com/rss/articles/CBMi6AFBVV95cUxQSHMtWUJGMXlOUzN4T2FpZWdZYnBKVmJjMGtHWF9xUUNVdVV4SmtyUDBCY0FlN1JpM2xfaDZSQU5xZHpZd1kzaDBCTllzT1FMdk1JMm84MmxTVHZodUZXS3ZRblh0TWF1X3RCYnJrN3RyTEVwdzJJRGhIMVAwa0ZqM01GUmhuWWJBOTUzU3NHa2YycWp6MEZTQ1RFQTZkdXJweHctMzhQWDVGcGd6bV9tb3lfdVVlWWxtNjJUc2lFT1I3VmViOXdkZnJUOGhFR0JMUVlpTlBHZFVOaVgxYkxkeXNpeTFZSjF0?oc=5,2026-05
"Mental health misinformation widespread on social media, study finds - Euronews.com",2026-03-20 07:00:00,Euronews.com,https://news.google.com/rss/articles/CBMivwFBVV95cUxQQmlRY0JqT09SRnkwREVjVUdOd2RDekItREFjSkZTNVNYdldFM1JNQk10SUlOVTBRRmNpWVN0dmdxWXJITzJncnZfUGhqbF9ybGFBUWw3bEhUSzBEdEpsZ194UGczRV9zd1dUYzk3V1Zmc1lPLVg3ZVhFXzR0aTg3VTVjRG1FTy1yN1NyNk5NZXVCNDdpdVdTc0Zma3dWTUJRTWE4blRqZEFRTjVaUEQ1SkNhbDRMVE43WldnSllZRQ?oc=5,2026-03
New social media study identifies the children ‘more likely to develop anxiety’ - The Independent,2026-03-23 07:00:00,The Independent,https://news.google.com/rss/articles/CBMimgFBVV95cUxOQnFBTnhCd05SUDZ3M3dBX0FKUF83UVFwcDlZcmphV2tnbmNzNFlmaG1RMElsa2J4VjR6WWlObjZvTzRURjVoNE5fUGRxdlhlaHpfOTc5SGxTaDRBb0h2eGxkZDVzSHUyMmRMMG5fR18tTXQzdmw2NHpTS19RTFdFRWtGLXRIRUJlbHV4TksyRXpUV1dDTlBLUG53?oc=5,2026-03
